Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
24-01-2020 11:13,28.0N,35.8W,32,21.2,-18.6,-9,-4.7,2.60E+10,0.092
21-01-2020 20:07,33.1N,34.3E,43.3,27.4,-7.5,-23.5,-11.9,2.80E+10,0.098
17-01-2020 21:29,19.4N,66.0W,14.5,15.5,-13.2,8.1,1.2,9.70E+10,0.29
16-01-2020 09:31,71.7S,116.4W,27.8,12.9,9.8,-4.5,7,5.90E+10,0.19
15-01-2020 06:31,23.7S,125.2W,31.5,,,,,1.96E+11,0.55
06-01-2020 11:03,70.4S,17.5W,,,,,,4.50E+10,0.15
21-12-2019 14:30,56.5N,147.6W,35.5,22.2,14.9,-8.1,-14.3,6.50E+10,0.21
11-12-2019 01:19,47.7N,161.7E,37,17.8,13.7,-10.9,-3.3,3.90E+10,0.13
06-12-2019 10:19,3.3S,37.7W,19.5,,,,,4.60E+10,0.15
03-12-2019 06:46,5.6N,52.2W,61.5,,,,,4.20E+10,0.14
28-11-2019 20:30,35.7N,31.7W,35,13,-11.6,-2.5,-5.4,2.70E+10,0.095
28-11-2019 13:22,,,,,,,,2.60E+10,0.092
28-11-2019 11:55,22.1S,25.7E,22.5,24.7,-22.8,-5.5,7.6,2.50E+10,0.089
05-11-2019 11:24,10.4S,143.3W,38,27.4,5.2,12.3,23.9,1.10E+11,0.33
22-10-2019 22:21,12.0N,76.0W,40.7,,,,,2.70E+10,0.095
10-10-2019 16:16,44.3N,122.9E,47.3,14.1,1.5,-12.9,-5.4,2.06E+11,0.57
28-09-2019 10:40,12.5S,107.2W,52,20.4,-10.1,11.2,13.7,2.30E+10,0.082
27-09-2019 13:35,25.7N,28.4W,,,,,,3.40E+10,0.12
14-09-2019 12:39,38.6S,33.5W,38,15.9,-12.9,8.1,4.6,1.09E+11,0.33
13-09-2019 02:02,18.6S,126.9E,27.4,13.5,5.2,-8.1,9.5,4.20E+10,0.14
12-09-2019 12:49,54.5N,9.2E,42,18.5,-18.1,-0.4,3.7,1.69E+11,0.48
12-09-2019 02:34,24.9N,47.8W,30.6,17.2,-11.7,11.7,4.6,5.90E+10,0.19
24-08-2019 12:02,21.9N,130.4W,39.8,13.4,11.1,-5.2,5.4,4.00E+10,0.13
22-08-2019 21:47,24.4S,92.9W,30.2,,,,,2.00E+10,0.073
16-08-2019 20:36,38.9N,7.0E,36,14.9,-3.9,4,-13.8,2.50E+10,0.089
23-07-2019 20:42,44.6N,147.6W,30.6,16.1,1.5,15.1,-5.5,2.55E+11,0.69
30-06-2019 16:52,21.2N,129.5W,59,42.3,25.2,31.2,-13.3,3.20E+10,0.11
30-06-2019 08:11,2.5S,168.7E,,,,,,2.10E+10,0.076
22-06-2019 21:25,14.9N,66.2W,25,14.9,-13.4,6,2.5,2.95E+12,6
20-06-2019 06:07,7.3N,67.6W,37,,,,,2.80E+10,0.098
26-05-2019 10:07,56.6N,25.3W,24.4,17.5,3.8,-5.8,16.1,4.20E+10,0.14
25-05-2019 06:44,19.2S,89.4E,29.2,15.8,0.2,-15.7,2.1,4.90E+10,0.16
22-05-2019 15:16,10.8N,37.3W,32.6,,,,,9.50E+10,0.29
21-05-2019 13:21,38.8S,137.5E,31.5,11.5,4.4,-8.5,6.4,6.56E+11,1.6
19-05-2019 14:47,23.6S,132.8E,33.3,15.2,7.3,-12.2,5.3,3.30E+10,0.11
12-05-2019 22:41,6.2N,57.1W,,,,,,2.10E+10,0.076
04-05-2019 15:35,28.4N,88.3W,26.5,,,,,2.20E+10,0.079
22-04-2019 21:42,48.8S,67.8E,33.3,11.4,3.4,-4.2,10,1.24E+11,0.37
14-04-2019 17:54,18.3N,74.6W,30.6,15.9,-2.5,5.9,-14.6,2.90E+10,0.1
06-04-2019 11:59,56.5N,94.9E,41.5,18.1,6.2,11.1,-12.9,7.00E+10,0.22
04-04-2019 22:19,35.3N,93.9W,,,,,,2.80E+10,0.098
27-03-2019 12:50,41.8S,7.4W,,,,,,2.20E+10,0.079
19-03-2019 02:06,24.0S,140.3E,28.7,16.2,10.2,0.4,12.6,2.00E+10,0.073
15-03-2019 12:26,63.7N,95.7E,31.5,14.4,5.4,-13.2,1.7,4.60E+10,0.15
18-02-2019 10:00,15.5S,25.3E,26,20.8,-16.6,-12.6,0.6,1.96E+12,4.2
01-02-2019 18:17,22.5N,83.8W,23.7,16.3,-2.4,13.6,8.7,5.79E+11,1.4
29-01-2019 20:47,,,,,,,,2.50E+10,0.089
22-01-2019 09:18,18.0N,6.5E,42.5,11.6,-8.6,-5.9,5,3.60E+10,0.12
23-12-2018 23:38,47.5S,174.4W,31.8,16.5,9.9,7.6,10.8,8.90E+10,0.27
18-12-2018 23:48,56.9N,172.4E,26,13.6,6.3,-3,-31.2,3.13E+13,49
20-11-2018 17:30,25.3N,6.7W,27.4,17.4,-10.1,13.9,3,4.22E+11,1.1
17-11-2018 21:48,47.3N,172.9W,32.5,19.1,7.6,17.3,-2.7,2.20E+11,0.61
15-11-2018 08:02,42N,57W,,,,,,2.00E+10,0.073
14-11-2018 04:03,37.6S,83.5E,37,,,,,3.80E+10,0.13
24-10-2018 21:19,6.7S,148.6W,33.3,,,,,4.70E+10,0.16
22-10-2018 07:11,,,,,,,,2.60E+10,0.092
05-10-2018 00:27,39.8S,31.7W,31.5,14.7,-13.2,-6.5,-0.4,3.80E+10,0.13
25-09-2018 14:10,23.5S,56.8E,33,16.5,-16.2,2.8,0.6,8.06E+11,1.9
25-09-2018 00:16,34.3S,44.9E,40.7,12.5,-11,2.5,-5.5,5.30E+10,0.17
20-09-2018 18:29,67.3S,75.1E,,11.1,-5.6,-7.9,5.5,8.30E+10,0.26
17-09-2018 01:08,6.8S,27.8W,,,,,,1.50E+11,0.43
13-09-2018 00:51,42.5N,50.1W,,,,,,4.20E+10,0.14
27-08-2018 04:36,1.7S,141.4E,33,16.1,9.8,-9.6,-8.4,2.40E+10,0.086
21-08-2018 12:26,39.2S,162.9W,37,,,,,2.20E+10,0.079
27-07-2018 09:35,58.8S,105.8E,32,,,,,1.05E+11,0.32
25-07-2018 21:55,76.9N,69.0W,43.3,24.4,20.4,12.9,-3.8,8.77E+11,2.1
17-07-2018 15:17,82.5N,136.7W,,,,,,2.11E+11,0.59
26-06-2018 17:51,32.0N,12.1E,63,14.1,-10,-1,-9.9,2.90E+10,0.1
21-06-2018 01:16,52.8N,38.1E,27.2,14.4,-8.9,-4.3,-10.5,1.22E+12,2.8
02-06-2018 16:44,21.2S,23.3E,28.7,16.9,0.9,-16.4,3.9,3.75E+11,0.98
12-05-2018 03:26,6.5S,173.7E,34,,,,,1.93E+11,0.54
08-05-2018 02:27,32N,60.7W,,,,,,7.30E+10,0.23
03-05-2018 07:23,46.9N,7.5W,39,11.5,1.3,-2.1,-11.2,3.80E+10,0.13
30-04-2018 13:17,45.5S,1.4W,34,13.1,8.7,-9.5,2.5,3.00E+10,0.1
21-04-2018 12:06,59.0S,45.8E,28.2,14.6,7.1,-4.6,11.9,3.60E+10,0.12
19-04-2018 14:02,7.5N,3.6E,30,20.9,-9.1,-2.5,18.6,7.20E+10,0.23
19-04-2018 13:39,22.2S,72.6E,31.5,10.9,-5.9,-9.1,1.4,5.12E+11,1.3
07-04-2018 03:05,72.4N,78.7W,31.5,,,,,8.60E+10,0.27
21-02-2018 01:28,13.5S,37.1W,31.5,13.1,-0.9,13.1,-0.4,7.10E+10,0.22
15-02-2018 13:38,43.8S,1.1W,50.7,,,,,2.70E+10,0.095
12-02-2018 02:15,15.9S,58.9W,,,,,,3.90E+10,0.13
08-02-2018 22:21,42.9N,179.7E,43.5,,,,,2.59E+11,0.7
01-02-2018 12:21,19.4S,104.3E,37,16.5,8.1,-8.4,-11.7,1.90E+11,0.53
22-01-2018 22:06,14.0N,17.4W,,,,,,3.20E+10,0.11
15-01-2018 02:18,52.0S,57.2E,43.6,23.7,18.6,-12.1,8.4,1.99E+11,0.56
06-01-2018 21:24,55.8N,52.5E,26,21,0.8,2.2,-20.9,2.80E+10,0.098
06-01-2018 18:24,39.5S,12.8E,26,,,,,3.60E+10,0.12
31-12-2017 09:36,63.5S,101.3W,64.5,,,,,4.40E+10,0.15
29-12-2017 12:47,14.6N,49.5W,38,,,,,1.10E+11,0.33
28-12-2017 17:45,,,,,,,,1.14E+11,0.34
15-12-2017 13:14,60.2N,170.0E,20,31.4,27.8,-4.7,-13.9,3.11E+12,6.4
19-11-2017 04:17,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,2.80E+10,0.098
26-10-2017 22:05,21.3S,177.6E,42.5,,,,,5.58E+11,1.4
